area,name,category,url,website,description
Porur,CoreStack Chennai,IT,https://www.google.com/maps/place/CoreStack+Chennai/data=!4m7!3m6!1s0x3a52673b493509f5:0x6ba057f2d051c29b!8m2!3d13.0311672!4d80.1678697!16s%2Fg%2F11b7qtll0d!19sChIJ9Qk1STtnUjoRm8JR0PJXoGs?authuser=0&hl=en&rclk=1,http://www.corestack.io/,CoreStack Chennai
Porur,RaKa Technologies,IT,https://www.google.com/maps/place/RaKa+Technologies/data=!4m7!3m6!1s0x3a526659579239d7:0xda6e6c6c5d24ba7f!8m2!3d13.029497!4d80.163046!16s%2Fg%2F1tgtcxvv!19sChIJ1zmSV1lmUjoRf7okXWxsbto?authuser=0&hl=en&rclk=1,http://www.rakatech.com/,RaKa Technologies
Poonamallee,Softrate Tech Park,tech,https://www.google.com/maps/place/Softrate+Tech+Park/data=!4m7!3m6!1s0x3a5261676f916b81:0x38f2a59457e21313!8m2!3d13.0289909!4d80.1080077!16s%2Fg%2F11lgq64td6!19sChIJgWuRb2dhUjoRExPiV5Sl8jg?authuser=0&hl=en&rclk=1,https://softrateglobal.com/,Softrate Tech Park
Poonamallee,Alab Technology Private Limited,tech,https://www.google.com/maps/place/Alab+Technology+Private+Limited/data=!4m7!3m6!1s0x3a5261ab5b8fdcad:0x5c7c0dc697fdd18b!8m2!3d13.046268!4d80.1153747!16s%2Fg%2F11t870k889!19sChIJrdyPW6thUjoRi9H9l8YNfFw?authuser=0&hl=en&rclk=1,https://alabtechnology.com/,Alab Technology Private Limited
Poonamallee,Qmax Systems India Pvt Ltd,tech,https://www.google.com/maps/place/Qmax+Systems+India+Pvt+Ltd/data=!4m7!3m6!1s0x3a5261c4805f65cd:0xb0e5c362ffcd8d7c!8m2!3d13.0488892!4d80.0899158!16s%2Fg%2F1tcx5fl4!19sChIJzWVfgMRhUjoRfI3N_2LD5bA?authuser=0&hl=en&rclk=1,https://qmaxsys.com/,Qmax Systems India Pvt Ltd
Poonamallee,SOS Technologies,tech,https://www.google.com/maps/place/SOS+Technologies/data=!4m7!3m6!1s0x3a526178f0162ea5:0xc9828db64ba439cb!8m2!3d13.0596564!4d80.1029597!16s%2Fg%2F11rq8njk1g!19sChIJpS4W8HhhUjoRyzmkS7aNgsk?authuser=0&hl=en&rclk=1,http://www.sostech.in/,SOS Technologies
Poonamallee,Naina Technology Solutions,tech,https://www.google.com/maps/place/Naina+Technology+Solutions/data=!4m7!3m6!1s0x3a5261f25584c187:0x57f020eabeef7074!8m2!3d13.0452519!4d80.1351355!16s%2Fg%2F11g5s96bpc!19sChIJh8GEVfJhUjoRdHDvvuog8Fc?authuser=0&hl=en&rclk=1,N/A,Naina Technology Solutions
Poonamallee,Megam Technologies,tech,https://www.google.com/maps/place/Megam+Technologies/data=!4m7!3m6!1s0x3a5261c9777e11d9:0x610e0a7d35cc97b6!8m2!3d13.0377159!4d80.1161848!16s%2Fg%2F12ml2xz7q!19sChIJ2RF-d8lhUjoRtpfMNX0KDmE?authuser=0&hl=en&rclk=1,https://megamtech.com/,Megam Technologies
Poonamallee,Naveen Tech World | Freelancing Software Services,tech,https://www.google.com/maps/place/Naveen+Tech+World+%7C+Freelancing+Software+Services/data=!4m7!3m6!1s0x3a5288ec4ab94dbd:0x1f73e33f01534622!8m2!3d13.040192!4d80.094347!16s%2Fg%2F11gbl3pwch!19sChIJvU25SuyIUjoRIkZTAT_jcx8?authuser=0&hl=en&rclk=1,https://naveen-tech-world.web.app/,Naveen Tech World | Freelancing Software Services
Poonamallee,Pixeen - AI Business Automation,tech,https://www.google.com/maps/place/Pixeen+-+AI+Business+Automation/data=!4m7!3m6!1s0x3a528b4677b95f6b:0x4f39412e5614ad8b!8m2!3d13.0412391!4d80.0969035!16s%2Fg%2F11xgfrw44x!19sChIJa1-5d0aLUjoRi60UVi5BOU8?authuser=0&hl=en&rclk=1,http://www.pixeen.in/,Pixeen - AI Business Automation
